,State,Abbrev,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
1,Alabama,Ala.,AL,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0,0
2,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
5,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Alabama,Ala.,AL,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0,3
8,Alabama,Ala.,AL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2
9,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Alabama,Ala.,AL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
14,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15,Alabama,Ala.,AL,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
16,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
17,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
20,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
22,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
23,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
24,Alabama,Ala.,AL,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4,5
25,Alabama,Ala.,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,2
26,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Alabama,Ala.,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
