Year,State,Count_Total,state_code
2000,Alabama,6,AL
2000,Alaska,2,AK
2000,Arizona,2,AZ
2000,Arkansas,7,AR
2000,California,96,CA
2000,Colorado,0,CO
2000,Connecticut,3773,CT
2000,Delaware,167,DE
2000,District of Columbia,11,DC
2000,Florida,54,FL
2000,Georgia,0,GA
2000,Hawaii,0,HI
2000,Idaho,4,ID
2000,Illinois,35,IL
2000,Indiana,23,IN
2000,Iowa,34,IA
2000,Kansas,17,KS
2000,Kentucky,13,KY
2000,Louisiana,8,LA
2000,Maine,71,ME
2000,Maryland,688,MD
2000,Massachusetts,1158,MA
2000,Michigan,23,MI
2000,Minnesota,465,MN
2000,Mississippi,3,MS
2000,Missouri,47,MO
2000,Montana,0,MT
2000,Nebraska,5,NE
2000,Nevada,4,NV
2000,New Hampshire,84,NH
2000,New Jersey,2459,NJ
2000,New Mexico,0,NM
2000,New York,4329,NY
2000,North Carolina,47,NC
2000,North Dakota,2,ND
2000,Ohio,61,OH
2000,Oklahoma,1,OK
2000,Oregon,13,OR
2000,Pennsylvania,2343,PA
2000,Rhode Island,675,RI
2000,South Carolina,25,SC
2000,South Dakota,0,SD
2000,Tennessee,28,TN
2000,Texas,77,TX
2000,Utah,3,UT
2000,Vermont,40,VT
2000,Virginia,149,VA
2000,Washington,9,WA
2000,West Virginia,35,WV
2000,Wisconsin,631,WI
2000,Wyoming,3,WY
2001,Alabama,10,AL
2001,Alaska,2,AK
2001,Arizona,3,AZ
2001,Arkansas,4,AR
2001,California,95,CA
2001,Colorado,0,CO
2001,Connecticut,3597,CT
2001,Delaware,152,DE
2001,District of Columbia,17,DC
2001,Florida,43,FL
2001,Georgia,0,GA
2001,Hawaii,0,HI
2001,Idaho,5,ID
2001,Illinois,32,IL
2001,Indiana,26,IN
2001,Iowa,36,IA
2001,Kansas,2,KS
2001,Kentucky,23,KY
2001,Louisiana,8,LA
2001,Maine,108,ME
2001,Maryland,608,MD
2001,Massachusetts,1164,MA
2001,Michigan,21,MI
2001,Minnesota,461,MN
2001,Mississippi,8,MS
2001,Missouri,37,MO
2001,Montana,0,MT
2001,Nebraska,4,NE
2001,Nevada,4,NV
2001,New Hampshire,129,NH
2001,New Jersey,2020,NJ
2001,New Mexico,1,NM
2001,New York,4083,NY
2001,North Carolina,41,NC
2001,North Dakota,0,ND
2001,Ohio,44,OH
2001,Oklahoma,0,OK
2001,Oregon,15,OR
2001,Pennsylvania,2806,PA
2001,Rhode Island,510,RI
2001,South Carolina,6,SC
2001,South Dakota,0,SD
2001,Tennessee,31,TN
2001,Texas,75,TX
2001,Utah,1,UT
2001,Vermont,18,VT
2001,Virginia,156,VA
2001,Washington,9,WA
2001,West Virginia,16,WV
2001,Wisconsin,597,WI
2001,Wyoming,1,WY
2002,Alabama,11,AL
2002,Alaska,3,AK
2002,Arizona,4,AZ
2002,Arkansas,3,AR
2002,California,97,CA
2002,Colorado,1,CO
2002,Connecticut,4631,CT
2002,Delaware,194,DE
2002,District of Columbia,25,DC
2002,Florida,79,FL
2002,Georgia,2,GA
2002,Hawaii,0,HI
2002,Idaho,4,ID
2002,Illinois,47,IL
2002,Indiana,21,IN
2002,Iowa,42,IA
2002,Kansas,7,KS
2002,Kentucky,25,KY
2002,Louisiana,5,LA
2002,Maine,219,ME
2002,Maryland,738,MD
2002,Massachusetts,1807,MA
2002,Michigan,26,MI
2002,Minnesota,867,MN
2002,Mississippi,12,MS
2002,Missouri,41,MO
2002,Montana,0,MT
2002,Nebraska,6,NE
2002,Nevada,2,NV
2002,New Hampshire,261,NH
2002,New Jersey,2349,NJ
2002,New Mexico,1,NM
2002,New York,5535,NY
2002,North Carolina,137,NC
2002,North Dakota,1,ND
2002,Ohio,82,OH
2002,Oklahoma,0,OK
2002,Oregon,12,OR
2002,Pennsylvania,3989,PA
2002,Rhode Island,852,RI
2002,South Carolina,26,SC
2002,South Dakota,2,SD
2002,Tennessee,28,TN
2002,Texas,139,TX
2002,Utah,5,UT
2002,Vermont,37,VT
2002,Virginia,259,VA
2002,Washington,11,WA
2002,West Virginia,26,WV
2002,Wisconsin,1090,WI
2002,Wyoming,2,WY
2003,Alabama,8,AL
2003,Alaska,3,AK
2003,Arizona,4,AZ
2003,Arkansas,0,AR
2003,California,86,CA
2003,Colorado,0,CO
2003,Connecticut,1403,CT
2003,Delaware,212,DE
2003,District of Columbia,14,DC
2003,Florida,43,FL
2003,Georgia,10,GA
2003,Hawaii,0,HI
2003,Idaho,3,ID
2003,Illinois,71,IL
2003,Indiana,25,IN
2003,Iowa,58,IA
2003,Kansas,4,KS
2003,Kentucky,17,KY
2003,Louisiana,7,LA
2003,Maine,175,ME
2003,Maryland,691,MD
2003,Massachusetts,1532,MA
2003,Michigan,12,MI
2003,Minnesota,474,MN
2003,Mississippi,21,MS
2003,Missouri,70,MO
2003,Montana,0,MT
2003,Nebraska,2,NE
2003,Nevada,3,NV
2003,New Hampshire,190,NH
2003,New Jersey,2887,NJ
2003,New Mexico,1,NM
2003,New York,5399,NY
2003,North Carolina,156,NC
2003,North Dakota,0,ND
2003,Ohio,66,OH
2003,Oklahoma,0,OK
2003,Oregon,16,OR
2003,Pennsylvania,5730,PA
2003,Rhode Island,736,RI
2003,South Carolina,18,SC
2003,South Dakota,1,SD
2003,Tennessee,20,TN
2003,Texas,85,TX
2003,Utah,2,UT
2003,Vermont,43,VT
2003,Virginia,195,VA
2003,Washington,7,WA
2003,West Virginia,31,WV
2003,Wisconsin,740,WI
2003,Wyoming,2,WY
2004,Alabama,6,AL
2004,Alaska,3,AK
2004,Arizona,13,AZ
2004,Arkansas,0,AR
2004,California,48,CA
2004,Colorado,0,CO
2004,Connecticut,1348,CT
2004,Delaware,339,DE
2004,District of Columbia,16,DC
2004,Florida,46,FL
2004,Georgia,12,GA
2004,Hawaii,0,HI
2004,Idaho,6,ID
2004,Illinois,87,IL
2004,Indiana,32,IN
2004,Iowa,49,IA
2004,Kansas,3,KS
2004,Kentucky,15,KY
2004,Louisiana,2,LA
2004,Maine,225,ME
2004,Maryland,891,MD
2004,Massachusetts,1532,MA
2004,Michigan,27,MI
2004,Minnesota,1023,MN
2004,Mississippi,0,MS
2004,Missouri,25,MO
2004,Montana,0,MT
2004,Nebraska,2,NE
2004,Nevada,1,NV
2004,New Hampshire,226,NH
2004,New Jersey,2698,NJ
2004,New Mexico,1,NM
2004,New York,5100,NY
2004,North Carolina,122,NC
2004,North Dakota,0,ND
2004,Ohio,50,OH
2004,Oklahoma,3,OK
2004,Oregon,11,OR
2004,Pennsylvania,3985,PA
2004,Rhode Island,249,RI
2004,South Carolina,22,SC
2004,South Dakota,1,SD
2004,Tennessee,20,TN
2004,Texas,98,TX
2004,Utah,1,UT
2004,Vermont,50,VT
2004,Virginia,216,VA
2004,Washington,14,WA
2004,West Virginia,38,WV
2004,Wisconsin,1144,WI
2004,Wyoming,4,WY
2005,Alabama,3,AL
2005,Alaska,4,AK
2005,Arizona,10,AZ
2005,Arkansas,0,AR
2005,California,95,CA
2005,Colorado,0,CO
2005,Connecticut,1810,CT
2005,Delaware,646,DE
2005,District of Columbia,10,DC
2005,Florida,47,FL
2005,Georgia,6,GA
2005,Hawaii,0,HI
2005,Idaho,2,ID
2005,Illinois,127,IL
2005,Indiana,33,IN
2005,Iowa,89,IA
2005,Kansas,3,KS
2005,Kentucky,5,KY
2005,Louisiana,3,LA
2005,Maine,247,ME
2005,Maryland,1235,MD
2005,Massachusetts,2336,MA
2005,Michigan,62,MI
2005,Minnesota,917,MN
2005,Mississippi,0,MS
2005,Missouri,15,MO
2005,Montana,0,MT
2005,Nebraska,2,NE
2005,Nevada,3,NV
2005,New Hampshire,265,NH
2005,New Jersey,3363,NJ
2005,New Mexico,3,NM
2005,New York,5565,NY
2005,North Carolina,49,NC
2005,North Dakota,3,ND
2005,Ohio,58,OH
2005,Oklahoma,0,OK
2005,Oregon,3,OR
2005,Pennsylvania,4287,PA
2005,Rhode Island,39,RI
2005,South Carolina,15,SC
2005,South Dakota,2,SD
2005,Tennessee,8,TN
2005,Texas,69,TX
2005,Utah,2,UT
2005,Vermont,54,VT
2005,Virginia,274,VA
2005,Washington,13,WA
2005,West Virginia,61,WV
2005,Wisconsin,1459,WI
2005,Wyoming,3,WY
2006,Alabama,11,AL
2006,Alaska,3,AK
2006,Arizona,10,AZ
2006,Arkansas,0,AR
2006,California,85,CA
2006,Colorado,0,CO
2006,Connecticut,1788,CT
2006,Delaware,482,DE
2006,District of Columbia,62,DC
2006,Florida,34,FL
2006,Georgia,8,GA
2006,Hawaii,0,HI
2006,Idaho,7,ID
2006,Illinois,110,IL
2006,Indiana,26,IN
2006,Iowa,97,IA
2006,Kansas,4,KS
2006,Kentucky,7,KY
2006,Louisiana,1,LA
2006,Maine,338,ME
2006,Maryland,1248,MD
2006,Massachusetts,1432,MA
2006,Michigan,55,MI
2006,Minnesota,914,MN
2006,Mississippi,3,MS
2006,Missouri,5,MO
2006,Montana,1,MT
2006,Nebraska,11,NE
2006,Nevada,4,NV
2006,New Hampshire,617,NH
2006,New Jersey,2432,NJ
2006,New Mexico,3,NM
2006,New York,4460,NY
2006,North Carolina,31,NC
2006,North Dakota,7,ND
2006,Ohio,43,OH
2006,Oklahoma,0,OK
2006,Oregon,7,OR
2006,Pennsylvania,3242,PA
2006,Rhode Island,308,RI
2006,South Carolina,20,SC
2006,South Dakota,1,SD
2006,Tennessee,15,TN
2006,Texas,29,TX
2006,Utah,5,UT
2006,Vermont,105,VT
2006,Virginia,357,VA
2006,Washington,8,WA
2006,West Virginia,28,WV
2006,Wisconsin,1466,WI
2006,Wyoming,1,WY
2007,Alabama,13,AL
2007,Alaska,10,AK
2007,Arizona,2,AZ
2007,Arkansas,1,AR
2007,California,75,CA
2007,Colorado,0,CO
2007,Connecticut,3058,CT
2007,Delaware,715,DE
2007,District of Columbia,116,DC
2007,Florida,30,FL
2007,Georgia,11,GA
2007,Hawaii,0,HI
2007,Idaho,9,ID
2007,Illinois,149,IL
2007,Indiana,55,IN
2007,Iowa,123,IA
2007,Kansas,8,KS
2007,Kentucky,6,KY
